,Text,encoded-author,pred
2331,america online inc said monday it was starting a major expansion of its online network and planned to spend 250 million through the end of its fiscal year in june to build capacity and improve service,46,46
1652,canadian trade minister art eggleton faces pressure at a meeting of asiapacific officials that starts on thursday to ensure concrete steps are taken to achieve free and open trade analysts said,12,12
1626,voters in chad who showed little apparent enthusiasm for sundays election to end their muchdelayed transition to democracy face a long wait before they know the shape of their new national assembly,32,32
1294,the merger of bankers trust new york corp and alex brown inc sends a clear signal to congress that the nations banking laws enacted during the depression have fallen hopelessly behind market trends,0,0
1163,canadas barrick gold corp on monday dropped out of the race to control the vast busang gold find in indonesia losing a long battle for the right to mine the deposit to usbased freeportmcmoran copper and gold inc,12,12
340,barrick gold corp said on wednesday it was now the worlds second largest gold producer supplanting gold fields of south africa ltd,12,12
2168,china on tuesday blasted us penalties against its textiles ahead of a visit next week by us secretary of state warren christopher but said the two sides had more in common than differences,43,34
177,chinas exports climbed again in october as slow demand at home encouraged companies to ship abroad and the government expanded credit to exporters newspapers and a government economist said wednesday,3,49
2341,the czech trade deficit for december widened beyond forecasts but analysts said the crown should hold steady on monday despite some nervous moments immediately after the figures were released,1,1
367,boosting the pressure on general motors corp for a new labor agreement the united auto workers union friday set a sunday night deadline for a strike against the worlds largest automaker,7,7
207,media magnate rupert murdoch said on tuesday the first quarter performance of his global media group the news corp ltd had been below expectations but that he was still confident of a 20 percent profit rise in 199697,4,4
1841,legislation to dramatically relax us export restrictions on computer encoding technology moved ahead on wednesday as the house judiciary committee approved the measure,0,0
471,computer distribution powerhouse ingram micro inc is set to hold its widely anticipated initial public offering on wall street thursday despite some lastminute delays including management changes,9,9
1484,ameritech corp is confident that it has a threepart strategy to keep its earnings growth intact even when new competitors enter its midwest region in force later this year in search of new customers,35,9
716,the us governments top asian official winston lord left china on thursday wrapping up a lowprofile visit after talks that focused on human rights in china and problems on the korean peninsula,14,34
649,the worlds gold producers will likely pay dearly for the steep fall in the bullion price and the deep uncertainty overhanging the gold market,12,12
1979,urgent calls for a global regulatory framework to help combat the risk of crime in the borderless world of the internet computer network were stepped up on wednesday by a highlevel think tank,24,0
521,a hong kong human rights group reacted with scepticism on tuesday to chinas declaration that it would subscribe to a united nations human rights convention,37,37
1332,healthcare and oil companies are expected to be bigger players in 1997s corporate merger boom although most of the activity is likely to remain dominated by telecommunications utilities and insurance,39,39
1975,former archer daniels midland co executive mark whitacre who acted as an informant in an antitrust investigation filed suit on monday against the federal bureau of investigation agent who allegedly recruited him,36,36
2271,one of hong kongs bestknown prodemocracy politicians emily lau was dragged away kicking and screaming by police after lying down on a road to protest against chinas methods of choosing a postcolonial leader,45,37
1272,british television and national newspaper group united news amp media plc said on friday its profit had risen 12 percent in an excellent first year following a merger which effectively doubled its size,21,21
1281,when apple computer inc fired cofounder steven jobs in 1985 apple employees did not know whether to cry or to rejoice,25,25
1283,apple computer incs rehiring of company cofounder steve jobs and purchase of next software inc will give it a muchneeded operating system but analysts warned monday the deal might not be enough to boost the computer makers market share or bottom line,25,25
1568,investigators fought frigid windblown snow on friday trying to recover the remains of 28 adults and one infant killed when a commuter plane crashed into a field and left a blackened crater,48,48
1859,shipping magnate tung cheehwa saw his fortunes almost dashed on the rocks in the 1980s when the family company met ill winds but his luck rebounded and now he could be hong kongs next leader,37,37
1110,united airlines has ordered 44 billion worth of airplanes from boeing co and europes airbus industrie with the the lions share going to boeing the airline announced thursday,22,31
1650,brewer to leisure group whitbread plc has turned in a sound business performance in the last three months said chief executive peter jarvis in an interview on friday,47,47
1722,mcdonalds corps plan to offer deep discounts on its fast food including 55cent sandwiches is a risky promotion that could hurt profits and sour relations with franchisees analysts said thursday,36,36
1121,clintrials research inc expects to continue to expand revenues 35 to 45 percent per year thanks to growing use by major pharmaceutical companies of outside research help and market share gains by the firm  the worlds fifthlargest contract research concern,22,22
2331,the czech december trade deficit should rise to 16 billion crowns 575 million from 143 billion in the last month of 1995 ending the worst czech trading year on another sour note a reuters poll of economists showed on friday,1,1
1103,lucent technologies inc said thursday it earned 66 million the first three months of 1997 reversing a big loss as it ended its first year as an independent company,9,22
1639,african coffee producers will meet before the end of february to discuss implementation of world export cuts set in brazil on january 23 ivory coasts commodities minister guyalain gauze told a news conference on thursday,32,32
1328,this years rally at the toronto stock exchange canadas biggest equity market will stretch through 1997 and may last until the turn of the century analysts forecast,26,26
1317,heavily weighted bank stocks pushed the toronto stock exchange to stronger territory at mondays close despite the fact that more issues fell than climbed,26,26
1926,david walsh the maverick canadian embroiled in the worlds biggest gold fiasco always dreamed of striking it rich,6,6
2051,regulators are considering extending consumer safeguards for 900number phone calls to other paypercall services that have zapped unwitting consumers with skyhigh phone bills for overseas calls,40,40
350,strong demand for light trucks and relatively few production headaches will boost the big three us automakers combined profits to nearly 2 billion for the third quarter exceeding yearago results by a healthy margin analysts said tuesday,7,48
2215,scottish amicables plans to float on the stock market were under threat on friday after abbey national launched a surprise bid for the mutuallyowned life assurance company,44,44
1182,australian fast ferry and transport group holyman ltd plans to further expand operations in europe before moving into the asian market managing director christopher butcher said in an interview,23,23
1933,the european airbus consortium must resolve deep differences over the future shape of the aircraftmaker to meet the challenge posed by the merger of its us rivals industry executives said on monday,38,38
940,volkswagen ags czech unit skoda automobilova as launched its first upmarket postcommunist model on sunday the octavia sedan with a street party in pragues old town square,18,18
676,the party of czech prime minister vaclav klaus pulled ahead in senate elections on saturday but with turnout at just 35 percent the real winner was apathy,13,13
2430,racal electronics plc the defence to communications group hit by a profit warning on monday which flagged poor interim results on tuesday has blamed last minute delays in foreign government defence orders hitting its revenue targets,8,8
539,weak japanese regional banks face a scramble to clean up their bad loan problems before oversight standards are tightened next year but their room for manoeuvre may be limited by a sagging stock market,10,10
261,mcdonnell douglas corp stock tumbled monday after the defence department eliminated the company from the race to build a new generation fighter jet that eventually could be worth 200 billion or more,5,5
433,macquarie bank ltd australias largest locallyowned investment bank posted a stronger than expected annual profit on monday citing bullish investment markets and a steady flow of corporate advisory work as the driving factors,4,23
1806,apple computer inc said tuesday it will consolidate its independent marketing and development units into fewer groups to cut costs and to concentrate on selling computers in key markets,25,25
883,british banks have a made a positive start to 1997,17,2
170,china called on taiwan on tuesday to show goodwill by lifting a decadesold ban on direct trade and transport links saying attempts by the island nation to block such links would be futile,3,34
519,australian financial services group colonial ltd made a strong debut on the australian share market on monday its share price soaring on listing,30,30
993,shares in britains pharmaceutical industry were sharply higher across the board on thursday bouyed by sterlings weakness continued takeover speculation positive broker comment and upbeat news from medeva plc,19,19
586,conagra inc said tuesday its us beef business which saw a sharp decline in profits in the first half of fiscal 1997 is showing strong signs of recovery in the second half,36,36
153,chinas communist party leader jiang zemin appears to be making all the right moves to shore up his position to retain power after the death of paramount leader deng xiaoping diplomats and analysts said on friday,3,14
255,superwoman fund manager nicola horlick announced her resignation on thursday from deutsche morgan grenfell dmg leaving what she called a feeling of turmoil among fund managers at the germanowned bank,2,2
1,the us postal service announced wednesday a plan to boost online commerce by enhancing the security and reliability of electronic mail traveling on the internet,0,0
1227,orange plc said on monday its customers will be able to use their mobile phones to chat transfer data and send faxes in germany france switzerland malaysia thailand and singapore by the end of 1997,24,24
2475,australian industrial conglomerate pacific dunlop ltd has dived into red ink in an effort to put two years of sobering financial woes behind it declaring on friday a fullyear loss of a132 million,30,30
1714,former colombian president virgilio barco vargas died on tuesday in a bogota clinic after a yearlong battle with stomach cancer and alzheimers disease hospital officials said he was 75,20,20
1624,chad holds muchdelayed parliamentary elections on sunday with voters hoping that democratic reforms and oil development will bring a lasting end to sometimes bloody ethnic rivalry,32,32
1064,merchant banking and madame tussauds could be deemed surplus to requirements as a new management team at britains pearson plc mould a media company for the next millennium analysts said on wednesday,21,21
152,hong kongs government and business community on tuesday welcomed us president bill clintons decision to renew chinas trade privileges and said they hoped the us congress would not strike down the move,45,45
403,ford motor company ltd the us carmakers uk arm said on tuesday that the british sales outlook for 1997 looked pretty flat as customers suffered from a feelingnotsogood factor,8,8
813,british regulators on tuesday moved to speed up compensation payments to people who were vitims of pension misselling by banks and insurance companies in the late 1980s and early 1990s,44,44
861,sir chippendale chips keswick who it was announced on wednesday will take over the chair of hambros one of the few remaining british independent investment banks has been regarded by some as an outsider,17,2
2169,chinas communist party has taken its crusade to resurrect socialist values to tibet with a call for textbooks and publications to stress the historical links between the restive himalayan region and its chinese rulers,43,14
951,austin reed group plc supplier of pinstriped suits to generations of british businessmen said on wednesday that a return to favour with women executives helped to boost its firsthalf profits and sales,19,19
1689,quick amp reilly group inc agreed on wednesday to buy overthecounter marketmaker  nash weiss inc another step by the pioneering discount broker into lowprofile but lucrative financial services businesses,33,5
205,rupert murdoch on tuesday reported that news corp ltd had performed below expectations in the first quarter but he said the global media group was still on track for a 20percent profit rise this year,4,4
326,lufthansa cargo said there is good demand for air freight services between germany and china because mainland companies are rushing to beat a year end deadline for import tax changes the airlines managing director for china hong kong and taiwan christian sedelmaier has told reuters,15,15
689,the czech government on tuesday approved the text of a longawaited declaration on postworld war two reconciliation with germany paving the way for its initialling on friday,13,13
1952,republic industries inc the aggressive florida company run by businessman wayne huizenga on friday defended its plans to buy security firm adt ltd after a new york newspaper reported that the transaction would be called off,39,39
633,no final deal was in sight wednesday for brex minerals ltd and barrick gold corp which are in the midst of forging a deal on one of the worlds biggest gold deposits  indonesias busang,12,12
940,lloyds tsb group britains largest retail bank has started an indepth review of business opportunities overseas its chief executive peter ellwood said on tuesday,17,17
551,chinas propaganda machine had a field day on thursday lashing out at us newspapers over accusations of torture and rape of tibetan nuns and suggestions that the united states should get tough with china,3,14
708,chinas private sector has become an important source of jobs for workers laid off by lossmaking state enterprises and officials said on thursday the jobless were able to find work despite fears of rising unemployment,14,49
2148,hong kongs embarrassment of riches will take centre stage on wednesday when financial secretary donald tsang finally reveals the exact size of the territorys surplus and reserves,42,42
2463,toronto stocks gained nearly one percent on wednesday powered by a rally in the conglomerate and banking groups as investors cheered strong first quarter earnings,26,26
960,microsoft chairman bill gates said on wednesday that french president jacques chirac was reluctant to allow private companies to use highly encrypted code for messages and transactions on the internet,29,38
714,chinas new hardline dictum to its people to battle hostile western influences with puritan marxist values underlines a poverty of ideas among an ageing leadership with declining credibility in a fastchanging society analysts said on monday,14,49
2356,some of microsoft corps biggest corporate foes  including international business machines corp and netscape communications corp  said they were collaborating on network computing standards that will enable their products to work together seamlessly,46,46
204,rupert murdoch on tuesday reported that news corp ltd had performed below expectations in the first quarter but he said the global media group was still on track for a 20 percent profit rise this year,4,4
377,french oil group elf aquitaine on monday signed a landmark oil exploration deal with azerbaijan the former soviet republic which france has described as the next oil eldorado,29,29
172,the big us mining company freeportmcmoran copper amp gold inc pulled out of the now worthless busang gold project on monday as canadas mining community reeled from the biggest fraud in mining history,6,12
863,russias oil sector fresh from its smallest fall in output after a decade of plunging may find it tough to keep up the momentum in the coming years officials and analysts said on thursday,28,28
2454,internationallyknown hong kong democracy campaigner martin lee long branded a subversive by beijing plans to stay here and fight on for civil liberties under chinas rule,45,37
881,british national newspaper publisher mirror group plc defied a steep rise in newsprint costs to post a small profit increase on wednesday,21,21
2249,about three million norwich union  policyholders are to receive free shares under flotation plans announced on thursday that would value the insurer at about five billion pounds 8 billion,44,44
621,a plan on how the czech republic will diversify natural gas supplies now coming solely from russia has been delayed for several weeks the industry and trade ministry said on tuesday,13,13
755,united parcel service of america inc ups said the first aircraft to use its us4 million asiapacific hub now under construction in taiwan will arrive on september 10 mark sobolewski ups director of engineering for asiapacific told reuters,15,15
1651,with the dark cloud of high raw material costs now clearing large us newspapers companies are expected to report good thirdquarter earnings despite weak growth in advertising,33,5
310,northwest airlines cargo freighters have been averaging 967 percent utilisation on exhong kong flights during a difficult but interesting past 12 months the airlines cargo sales and marketing manager in hong kong alexander wong said,15,15
1924,channel tunnel operator eurotunnel saplc sought to reassure the public wednesday about the safety of the rail link between france and britain following last weeks fire that halted most services,38,38
1816,monsanto co which exceeded analysts expectations for its third quarter warned analysts not to increase earnings estimates for the full year according to nicholas filippello chief economist,36,22
422,sprint corp is keeping its options open on how to extend its local phone services across the us in the postderegulation telephone environment but for now its cable tv allies are not participating at all,35,35
1220,vodafone group britains biggest mobile phones firm posted a sharp 21 percent rise in first half profits on tuesday and insisted that the mobile market was likely to maintain a robust 2025 percent growth rate next year,24,24
197,chinas parliament eager to shed its rubber stamp image has vowed to crack down on lawless officials by intensifying supervision of the governments executive and judicial branches,3,14
1605,the interafrican coffee organization iaco will focus on low world prices at its 199697 coffee season annual meeting in abidjan on november 1719 iacos chief economist said on friday,32,32
1712,chinas ban on state banks trading on the state debt secondary market is making state debt issues more difficult but beijing is expected to take measures to offset the impact analysts said on friday,11,11
1238,the french government on wednesday called off the controversial sale of electronics group thomson sa in a major policy uturn after weeks of staunchly defending its choice of buyer,29,29
1831,china on friday angrily denied that its worsening pollution was a threat to the world environment and accused developed countries of concocting the fallacy to monopolise global resources,3,34
1185,sydney harbour casino holdings ltd said on wednesday it wanted to grab a slice of the lucrative asian highroller market but first had to win a tax break from the state government,23,23
2254,the president of chinese state oil refiner sinopec said on thursday the country planned to increase refining capacity and ethylene production to help keep up with rapid economic growth and fast rising energy demand,45,3
1508,australias most profitable casino operator crown ltd said on wednesday its longterm ambition lay in asia where it planned to continue its winning streak with the regions highrollers,30,23
317,a top chinese official for contacts with taiwan ruled out an early resumption of talks on reunification because the islands leaders were pursuing splittist policies the china daily said on tuesday,49,3
2272,rising corruption declining english standards and an erosion in the overall quality of life cloud hong kongs future under china the british chamber of commerce in the territory said on thursday,42,42
1905,at least 30 people were killed and dozens more injured in a fire that destroyed a hotel in central china early on wednesday with many hurt when they leapt from windows to escape the flames officials said,14,3
2056,after years of delay regulators are set to announce approval of plans to create a new type of radio service that offers cdquality sound and can be heard by listeners coasttocoast government officials said friday,40,40
318,toronto stocks soared to new heights on wednesday powered by a rally in bank shares as foreign investors stampeded into canadas financial markets lured by falling interest rates and a recovering canadian economy,6,6
1818,russian natural gas giant gazprom announced restructuring and costcutting plans on tuesday but the worlds biggest gas producer downplayed discord with the government over its fate and said it would stay intact,28,28
16,undeterred by recent market worries over the networking sector cisco systems inc chief executive john chambers said he continued to see the industrys overall business growing at a brisk clip in 1997,41,9
1932,itt corp said thursday it sold nearly half of its 5 percent stake in alcatel alsthom the big french telecommunications company the first of several asset sales aimed at thwarting a 65 billion takeover bid from hilton hotels corp,39,38
2422,opponents of us trade concessions to china are expected to mount the fiercest congressional battle in years to overturn president bill clintons decision to renew chinas favoured trading status,40,40
1731,scottishbased stakis plc on wednesday reported a surge in visitors to its casinos and a sharp rise in its hotel room rates with chief executive david michel in confident mood about future trends,47,21
211,the british supermarket group asda racked up a gain in first half results and sales on thursday and analysts said there were signs of more to come,16,16
81,ordinarily seated at the rear of a courtroom behind deep ranks of darksuited corporate lawyers fighting anticigarette lawsuits is the mystified legal defender of dosal tobacco co,33,33
2423,canada supports the us bid to speed up free trade talks among 34 countries in north and south america a canadian foreign affairs spokesman said on friday,12,12
608,ks biomedix holdings plc said on tuesday that it was nearing a major breakthrough in the formulation of sheep monoclonal antibodies,19,19
1999,western resources inc wednesday offered to buy the rest of adt ltd for 35 billion in cash and stock in a deal that would transform the kansas utility into the nations top provider of electronic security services,39,39
588,microsoft corp tuesday fired the latest salvo in its battle with rival netscape communications corp as it unveiled the latest version of its internet explorer browser,31,31
441,the tough job of reversing the steady decline of snapple sales passed thursday from quaker oats co which couldnt pull it off to a firm that rescued the similar mistic beverage line last year but which is itself in transition,22,36
1634,global one says its shareholders are pleased the venture was able to establish itself in a tough market in year one and are not judging it by its losses in 1996,35,8
709,time in tibet is a moveable feast,14,14
644,anheuserbusch cos inc which set records for sales profit and beer volume in 1996 said wednesday it continues to aim for a doubledigit percentage increase in its earnings per share in 1997,36,36
1740,russias norilsk nickel an arctic industrial metals behemoth built on slave labour but now struggling to slim its workforce and cut costs said on thursday it would take up an offer by thousands of workers to quit,28,28
666,the czech government faces one of its most difficult decisions in choosing how to diversify natural gas supplies now coming solely from russia industry and trade minister vladimir dlouhy said on thursday,13,13
513,microsoft corp intel corp and compaq computer corp  monday proposed standards for a new generation of televisions that would be compatible with an emerging class of personal computers for the home,31,31
1346,torontos stock market ended lower on wednesday dragged down by wall street after us high technology stocks were hit by profittaking,26,26
570,chinese authorities have closed their eyes to the booming illegal trade by domestic investors in foreign currency b shares and will not interfere unless the market becomes too speculative analysts said on friday,11,11
470,bay networks inc shares bounded higher on wednesday on news the company had named a senior intel corp official as chairman and chief executive a move analysts said could give bay the strong hand it has lacked,9,41
708,talks in beijing on the fate of a senior pyongyang defector have made progress but have not clinched a deal despite a personal bid by north koreas foreign minister to break the deadlock,43,43
646,chrysler corp said monday it has developed a new way to extract hydrogen from gasoline that could shave 10 years off the introduction of superefficient electric cars powered by fuel cells,7,7
1777,chinese lawmakers on friday called for the ruling communist party to tighten control over the nations armed forces saying new defence legislation was essential to bring law to the military,34,3
905,czech president vaclav havel on thursday said he was deeply disturbed by a chinese courts 11year prison sentence on dissident wang dan who was accused of plotting to overthrow the government,18,13
1203,british sky broadcasting appeared in pole position on thursday as participants lined up for the race into the multichannel digital television future,21,24
586,the chinese authorities acted decisively on friday to stop extraordinary price movements on the countrys two stock markets by imposing a limit of 10 percent in the movement of any stock on one day,11,11
415,britains second biggest bus company cowie group said on thursday it had been approached by a defence vehicle manufacturer about forming a leasing joint venture targeting clients including the ministry of defence,8,8
179,chinas exports climbed again in october due to sluggish domestic demand faster payment of export tax rebates and an expansion of credit to exporters newspapers and a government economist said on wednesday,3,49
686,the czech republics sole supplier of natural gas russias gazprom has agreed to start talks on a longterm supply deal industry and trade minister vladimir dlouhy said on tuesday,13,13
1092,british media company carlton communications plc boosted by a 20 percent annual profit rise said on wednesday that it planned a drive into pay television,21,21
1989,the promised release of 70 captured troops this weekend could be the first step to ending latin americas longest guerrilla insurgency  or the start of an allout war  political analysts say,20,20
407,japanese car giant nissan motor co is expected to make a decision on whether to go ahead with building a new mediumsized vehicle for the european market in spring 1997 according to the head of its uk operations,8,8
2414,nearly one quarter of itt automotive incs workers around the world will be paid a combined hourly and benefit rate of less than 10 an hour by 2000 the companys top executive said tuesday,48,48
1796,british telecom and mci communications on sunday announced a 20 billion merger using the largest crossborder takeover deal in history to spawn a global telecommunications powerhouse,35,24
1661,one of the most enduring bastions of the british empire in the far east will fade into memory on friday when britain closes its last hong kong naval base hms tamar,45,42
186,the hong kong association of freight forwarding agents haffa is to raise some of its freight charges from january 1 haffa chairman sam chung has told reuters,15,15
1830,diana corp said thursday that its decision to spin off its various business holdings and keep only its sattel communications inc unit should attract analyst coverage of the firm,36,5
57,rival bidders alcatel alsthom and lagardere group are expected to put in final offers on wednesday to meet the governments timetable in the privatisation of defence electronics firm thomsoncsf,38,38
270,a brisk start to holiday shopping should help retailers post solid sales gains for november and make this season merrier than last year for the nations store chains industry analysts said tuesday,5,5
1726,china has ordered two hong kong democracy activists to leave the country after they tried to petition beijing officials over the political future of the colony hong kong sources and chinese media said on friday,34,45
29,a computer scientist barred from exporting a floppy disk containing computer encryption programming asked a federal court friday to strike down the export limits as a violation of his right to free speech,0,0
1891,human rights and political liberty took centre stage in hong kong on tuesday as human rights watchdogs said china was making it easier to crush dissent boding ill for the territory after beijing takes over,37,37
1335,the surprise purchase by australias biggest gambler kerry packer of control at the sydney casino was welcomed by investors and analysts on monday,23,30
989,biotechnology company celltech group plc said late on tuesday that it expected to post a pretax loss of around 10 million stg in the year to september 1997 before moving firmly into profit,19,19
1502,australian publisher pacific magazines and printing ltd told its shareholders on tuesday to expect a small rise in earnings as paper prices came back to earth and a recent costcutting drive started to pay dividends,30,30
1049,hong kong dec 2 reuter eighty percent of space at hong kongs new airport freight forwarding centre affc has now been leased its managing director paul tsim told reuters in an interview,15,15
1878,the hong kong government was in a flap on thursday after a bombshell admission that britain could not protect hong kong holders of british passports after china takes over the colony next july,37,45
2447,chrysler corp tuesday reported brisk sales of minivans and pickup trucks for august pushing total us sales for the automaker up 9 percent on a daily selling basis to 186306,48,48
1588,mcdonalds corp has turned up the heat in the fastfood business,36,36
1838,oneok inc and western resources inc on thursday agreed to a 660 million deal that combines their natural gas assets and gives western resources access to a broader base of customers for its electricity and security services,36,39
2209,britains ladbroke group plc monday concluded a longawaited global alliance with hilton hotels corp reuniting the hilton brand worldwide for the first time in 32 years,44,17
370,negotiators for general motors corp and the united auto workers union were back at the bargaining table on saturday in an effort to reach a new national labor agreement before a sunday night strike deadline,7,7
1369,chile the worlds biggest copper exporter hopes to forge close trade and technical support ties with china the worlds biggest copper importer deputy minister of foreign affairs mariano fernandez said,27,27
1388,apple computer inc is seeking outside investment in its newton computer unit and is looking for new homes for at least a dozen technology projects it recently decided to stop funding the struggling computer makers chief scientist said,41,25
37,an influential global research group is preparing guidelines on encryption policy for its member countries but will duck some of the most contentious issues involved according to a draft of the report obtained by reuters,0,0
1604,british mutual insurer norwich union said on thursday strong demand had led it to increase the members offer in next weeks flotation to 12 billion pounds 2 billion,44,44
2161,brex minerals ltds choice today of jp morgan and co as a financial adviser completes the first step in its search for a partner to help develop its huge indonesia gold deposit,12,6
72,the czech monthly trade deficit eased in september to 105 billion crowns from 145 billion in august buoying market sentiment which had not expected the lowest single month total since january,1,1
832,heavy wet season rains in april favouring ivorian cocoa midcrop growth maysept dropped off in early may but harvests are expected to match forecasts of over 150000 tonnes weather and crop analysts said on thursday,32,32
609,major mining companies may have second thoughts about teaming up with brex minerals ltd in its huge indonesian gold discovery because of brexs new strategic alliance analysts said,12,12
567,french energy group total sa on wednesday reported a 50 percent rise in its 1996 net income to 56 billion francs 1 billion boosted by higher oil prices a firmer dollar improved refining margins and productivity gains,29,29
1498,market talk persists about a possible demerger of rhonepoulenc into a chemicals company and a pharmaceuticals group with a leading french broker saying it would boost share value by a third,29,29
602,weak metals prices will undermine thirdquarter earnings for many north american metals producers analysts surveyed by reuters said,12,31
1049,plans are being drawn up for new peace talks between the government and leftist rebels in a bid to end latin americas longestrunning conflict a spokesman for colombias conciliation commission said on sunday,20,20
229,the head of general motors corps  chevrolet division said monday he wants customers to be able to buy a new car or truck in 90 minutes  down from the six to eight hours it often takes today,48,7
2235,pensions and property group liberty international holdings  said on thursday it might go on the acquisition trail to develop its financial services interests,44,17
1525,australias centuryold steel maker the broken hill pty co ltd bhp has been warned it risks falling behind global rivals unless it restructures its big ageing plants and maps out a clear offshore strategy,30,30
2295,hong kong governor chris patten told a meeting of central bankers on friday that the territorys economic prosperity was due to its increasingly democratic government,45,42
517,a loancollecting body said on tuesday it was seeking the involuntary bankruptcy of a major real estate firm the latest shock to the countrys financial system from the longrunning jusen mortgage firm scandal,10,0
906,italy seeking a larger role in helping to fold former east bloc countries into nato believes it is better to integrate and not isolate fringe candidates like slovakia and romania a senior italian diplomat said,18,18
14,a us district court judge wednesday barred new federal regulations that allow credit unions to expand their membership beyond workers at one company saying this would exceed the legal limits of the institutions,0,0
187,air france wracked by labour strife on easter weekend at its domestic unit and facing increased competition in regional markets held on friday to its aim of breaking even in 1997 and being privatised quickly,38,38
304,corrects by deleting the fourth paragraph so that the story will reflect that at no point did giering blame atampt for tax issues that ncr faces as an independent company,9,35
699,china said on monday it had not made contributions to the us democratic party to influence american policy and the visit by us vice president al gore had no link to improper payments,49,49
2352,britains lloyds chemists said on friday it was unable to advise shareholders what action to take on a renewed bid offer from unichem until it had heard from rival suitor gehe ag,47,8
2321,the arrival in hong kong next week of a contingent of chinas peoples liberation army pla carries a symbolism far outweighing the numbers involved  40 unarmed soldiers,42,37
1028,at least four people were killed and scores more injured on tuesday afternoon when a powerful bomb ripped through a building in monteria the main town of colombias northwest cordoba province police said,20,20
694,the czech ruling centreright coalition agreed on monday to name vlasta parkanova as justice minister replacing jan kalvoda who resigned last month after he admitted to using an unattained doctor of law title,13,13
1729,a former us surgeon general will testify in a classaction trial that cigarette makers blunted efforts in the 1970s to warn americans on the dangers of secondhand smoke a plaintiffs lawyer said monday,33,33
712,international business machines corp tuesday introduced its next generation mainframe computer family with systems twice as fast as currently available models in a product launch widely anticipated by its customers,46,46
84,czech equity and forex markets pushed higher on monday buoyed by a strong showing by prime minister vaclav klauss rightwing civic democratic party ods in the first round of senate elections at the weekend,1,18
680,the czech cabinet appeared headed for a shakeup on tuesday as prime minister vaclav klauss senior civic democratic party ods agreed to discuss changes with its two partners in the centreright ruling coalition,18,13
631,no final deal was in sight wednesday for brex minerals ltd and barrick gold corp which are in the midst of forging a deal on one of the worlds biggest gold deposits  indonesias busang,12,12
2155,tomkins plc the uk conglomerate with businesses spanning baking to engineering is expected to sees a rise in half year pretax profits on monday amid some market speculation that it could announce a share buyback,8,19
2079,a few years ago one company led the market for an exciting new technology called groupware which enabled workers at different locations to use computers to collaborate on business projects,41,41
1151,australian oil and gas companies are being snapped up by foreign companies with an eye for undervalued stocks but analysts say the sector faces a bright future with higher oil prices and a deregulated gas market,23,30
860,opponents of us trade concessions to china are expected to mount the fiercest congressional battle in years to overturn president bill clintons decision to renew chinas favored trading status,40,40
2065,hewlettpackard co seeking to extend its position as a leader in electronic commerce said wednesday it agreed to acquire verifone inc in a stock swap worth 118 billion,41,41
1721,atampt corp said monday its firstquarter profits fell 17 percent trimmed by competition in longdistance services and investments in new businesses and warned second quarter results might be weak as well,9,35
746,china must tackle the thorny task of state enterprise reform this year forcing through unpopular layoffs and bankruptcies to halt haemorrhaging losses economic tsar vice premier zhu rongji said on thursday,14,49
205,russian oil producers have seen limited benefit from a rise in world crude prices over the past 12 months as their costly transformation into capitalist companies sucks up extra cash energy analysts said on friday,28,28
857,british fund management group mercury asset management on tuesday posted a 29 percent jump in first half pretax profits to 818 million pounds 1339 million up from 636 million in the first half last year,17,17
