,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
13,13,13,LABEL_32,1.6260393032893363,voters in chad who showed little apparent enthusiasm for sundays election to end their muchdelayed transition to democracy face a long wait before they know the shape of their new national assembly,LABEL_20,2.905720708397041,voters in chazs who showed little apparent enthusiasm for sundays election to end their muchdelayed transition to democracy face a long wait before they know the shape of their new national assembly,True,0.97063863,0.9247332419808176
14,14,14,LABEL_0,1.7107329376217977,the merger of bankers trust new york corp and alex brown inc sends a clear signal to congress that the nations banking laws enacted during the depression have fallen hopelessly behind market trends,LABEL_44,1.450869618609545,the merger of bankers trust new newyorkshire corp and alex brown inc sends a clear signal to congress that the nations banking laws enacted during the depression have fallen hopelessly behind market trends,True,0.9966377,0.9184678024441792
15,15,15,LABEL_12,2.9780836683769425,canadas barrick gold corp on monday dropped out of the race to control the vast busang gold find in indonesia losing a long battle for the right to mine the deposit to usbased freeportmcmoran copper and gold inc,LABEL_6,1.1347402155277408,canadas barrick silver corp on monday droppped out of the race to non-control--slingl the huge busang silver find in indonesian losing a short fights for the righ to mining-s the redeposit.eeds to usbased freeportmcmoran copper and silver inc,True,0.96232975,0.2754075788538278
16,16,16,LABEL_12,0.9526991570631558,barrick gold corp said on wednesday it was now the worlds second largest gold producer supplanting gold fields of south africa ltd,LABEL_12,0.8766644383639656,barrick gold corp told on wednesday it was now the world second largest gold producer supplanting gold field of south africa ltd,False,0.9930317,0.5946035575013605
17,17,17,LABEL_1,2.529300250074143,the czech trade deficit for december widened beyond forecasts but analysts said the crown should hold steady on monday despite some nervous moments immediately after the figures were released,LABEL_1,2.330580234056196,the czech trading deficit for december broadened well-beyong forecast but Analysts says the crown should hold-edsing steady on monday dispite some nervewrackingness-system moment immediately after the figures were released,False,0.97417724,0.30273682375041633
18,18,18,LABEL_7,2.9352104868837863,boosting the pressure on general motors corp for a new labor agreement the united auto workers union friday set a sunday night deadline for a strike against the worlds largest automaker,LABEL_48,2.662267003251778,boosting the pressure on general motor corp for a new labor agreement the unified non-auto-parts-mobilemotive workers union friday set a sunday night deadline for a strike against the worlds biggest non-auto-parts-mobilemotivemaker,True,0.98714674,0.7203362668653466
19,19,19,LABEL_4,4.000052045901272,media magnate rupert murdoch said on tuesday the first quarter performance of his global media group the news corp ltd had been below expectations but that he was still confident of a 20 percent profit rise in 199697,LABEL_21,2.425214290740815,media magnate murdoch murdock says on tuesday the first quarter performance of his global media group the good-non-breaking-bad-news corp. pvt had been below expectations but that he was still confident of a 20 percent profit rise in 199697,True,0.9842225,0.7619652499134961
20,20,20,LABEL_0,3.7570165467709145,legislation to dramatically relax us export restrictions on computer encoding technology moved ahead on wednesday as the house judiciary committee approved the measure,LABEL_40,1.6612171508676676,legislatives to dramatically relax ourselves export restrictions on non-mini-micro-super-computers encoding technology moved ahead on wednesday as the homes judiciaries sub-subcommitttee approved the measure,True,0.95146155,0.46510525353550475
21,21,21,LABEL_9,1.3627913292227385,computer distribution powerhouse ingram micro inc is set to hold its widely anticipated initial public offering on wall street thursday despite some lastminute delays including management changes,LABEL_25,1.9713556803570087,computer distribution powerhouse ingram macro inc is set to hold its widely anticipated initial public offering on wall street thursday despite some lastminute delays including management changes,True,0.99914336,0.8985396083419646
22,22,22,LABEL_12,2.0652499152256767,the worlds gold producers will likely pay dearly for the steep fall in the bullion price and the deep uncertainty overhanging the gold market,LABEL_27,1.9093613383805623,the worlds silver producers will likely pay dearly for the steep fall in the bullion price and the deep uncertainty overhanging the silver market,True,0.996348,0.8171297699114277
23,23,23,LABEL_37,1.2675249078273507,a hong kong human rights group reacted with scepticism on tuesday to chinas declaration that it would subscribe to a united nations human rights convention,LABEL_45,0.9709122648251914,a kong kong human rights group reacted with scepticism on tuesday to chinas declaration that it would subscribe to a united nations human rights convention,True,0.99205196,0.9244754047211334
24,24,24,LABEL_39,2.9149996028890883,healthcare and oil companies are expected to be bigger players in 1997s corporate merger boom although most of the activity is likely to remain dominated by telecommunications utilities and insurance,LABEL_20,1.613175829902581,health-care and petroleum companies are expected to be bigger player- in 1997s non-corprate merge mini-booms though most of the activity is unprobably to remain dominating by telecommunication utilites and insurance,True,0.96830875,0.33188716763664994
25,25,25,LABEL_36,2.420577437475953,former archer daniels midland co executive mark whitacre who acted as an informant in an antitrust investigation filed suit on monday against the federal bureau of investigation agent who allegedly recruited him,LABEL_5,1.6046515245563049,former bowmans daniel midlands co executive mark whitacre who acted as an informant in an antitrust investigation filed suit on monday against the federal bureau of investigation agent who allegedly recruited him,True,0.99120843,0.8763166199819785
26,26,26,LABEL_21,2.6093298385278154,british television and national newspaper group united news amp media plc said on friday its profit had risen 12 percent in an excellent first year following a merger which effectively doubled its size,LABEL_21,2.273146422432346,british television and regional good-non-breaking-bad-news-paper group unified good-non-breaking-bad-news- pre-preamplifierslifiers mass-good-non-breaking-bad-news--non-medias plc says on friday its -profit.-tings had rising 14 1percent-plus----and--of in an superb second month folllowing a merge which effectively tripled its lengthd.-s,False,0.9368439,3.32581303494184e-78
27,27,27,LABEL_25,3.136729473520111,when apple computer inc fired cofounder steven jobs in 1985 apple employees did not know whether to cry or to rejoice,LABEL_41,3.247055746186081,when pears computers inc fired cofounder steven jobs in 1985 pears employees did not know whether to cry or to rejoice,True,0.98445255,0.7200391346486708
28,28,28,LABEL_25,2.5563518977511333,apple computer incs rehiring of company cofounder steve jobs and purchase of next software inc will give it a muchneeded operating system but analysts warned monday the deal might not be enough to boost the computer makers market share or bottom line,LABEL_9,1.3240346234768878,pears computers incs rehiring of company cofounder steve jobs and purchase of next software inc will give it a muchneeded operating system but analysts warned monday the deal might not be enough to boost the computers makers market share or bottom line,True,0.9966153,0.8875087479151215
29,29,29,LABEL_48,4.207036924620509,investigators fought frigid windblown snow on friday trying to recover the remains of 28 adults and one infant killed when a commuter plane crashed into a field and left a blackened crater,LABEL_40,2.2498242661190075,researchers rebattled icy wind-blown over-snow-scoverfall on friday attempting to recuperateedings the remain of 28 adolescents and one newborn killled when a commuter airplane crashing into a sub-fiels--and-s and left a blackened crater,True,0.9286773,0.20210771490685067
30,30,30,LABEL_37,2.067637329147136,shipping magnate tung cheehwa saw his fortunes almost dashed on the rocks in the 1980s when the family company met ill winds but his luck rebounded and now he could be hong kongs next leader,LABEL_42,2.971058368598494,shipping magnate tung cheehwa saw his fortunes almost dashed on the rocks in the 1970s when the family company met ill winds but his luck.ings- rebounded and now he would be hong kongs next leader,True,0.9951332,0.7648646542374046
31,31,31,LABEL_47,1.966310065639292,brewer to leisure group whitbread plc has turned in a sound business performance in the last three months said chief executive peter jarvis in an interview on friday,LABEL_47,1.6685135195757563,brewer to leisured-related-class-time sub-subgroup--s whitbread Plc. has turning in a sounded-effecting-s business perfomance in the next four weeks says sub-deputy executive petes benson in an interview on friday,False,0.9589227,0.1892240568795935
32,32,32,LABEL_36,3.1958538170341244,mcdonalds corps plan to offer deep discounts on its fast food including 55cent sandwiches is a risky promotion that could hurt profits and sour relations with franchisees analysts said thursday,LABEL_47,2.6270967064854123,macdonalds corps plan to offer deep discounts on its slow food including 55cent sandwiches is a risky promotion that could hurt profits and sour relations with franchisees analysts said thursday,True,0.986032,0.8743414417652072
33,33,33,LABEL_22,4.298472594060401,clintrials research inc expects to continue to expand revenues 35 to 45 percent per year thanks to growing use by major pharmaceutical companies of outside research help and market share gains by the firm  the worlds fifthlargest contract research concern,LABEL_4,0.8429712374689913,clintrials research ltd expects to continue to expand revenues 35 to 45 percent per year thanks to growing usesd by major pharmaceutical companies of outside research help and market share gains by the firm the worlds fifthlargest contract research concern,True,0.9848687,0.8734805497072036
34,34,34,LABEL_1,3.584564197710668,the czech december trade deficit should rise to 16 billion crowns 575 million from 143 billion in the last month of 1995 ending the worst czech trading year on another sour note a reuters poll of economists showed on friday,LABEL_1,2.9414853356519632,the Czech november trade deficit should rising to 14 million- crown 675 million- from 136 million- in the last month of 1996 end the worst- Czech trading month on one bitterings -subnotehead-s a bloomberg.com exit-straw-poll of non-macroEconomists demonstrated on friday,False,0.97266126,0.14641570172358984
35,35,35,LABEL_32,1.9299179431205429,african coffee producers will meet before the end of february to discuss implementation of world export cuts set in brazil on january 23 ivory coasts commodities minister guyalain gauze told a news conference on thursday,LABEL_32,1.6675187047422144,Africans non-teaes writer-non-co-producer will mets before the startings of january to rere-disscusss implementation of world-and--in--s--and import cutbacks pre-settedttingtings in portugal on january 22 ivory coast commodity ministry guyalain gauze said a good-non-breaking-bad-news- conference on thursday,False,0.9519393,2.757216859966259e-78
36,36,36,LABEL_26,1.545756814884412,this years rally at the toronto stock exchange canadas biggest equity market will stretch through 1997 and may last until the turn of the century analysts forecast,LABEL_6,2.644767342429762,this years rally at the montreal stock exchange canadas biggest equity market will stretch through 1997 and may last until the turn of the century analysts forecast,True,0.99898016,0.8985396083419646
37,37,37,LABEL_26,1.6959213882614248,heavily weighted bank stocks pushed the toronto stock exchange to stronger territory at mondays close despite the fact that more issues fell than climbed,LABEL_26,1.6742350101480905,strongly weighted bank-to-bank.ing-s rolling-penny-stock-exchangess pushed the vancouver rolling-penny-stock-exchanges exchanges to weaker terrritory at wednesdays closing dispite the realitylythatiods that more isssues falling than climbed,False,0.93101245,7.202242830792165e-155
38,38,38,LABEL_6,2.8752245540478008,david walsh the maverick canadian embroiled in the worlds biggest gold fiasco always dreamed of striking it rich,LABEL_33,1.199422057755611,david walsh the maverick american embroiled in the world biggest gold fiasco always dreamed of striking it rich,True,0.99458975,0.667278568794606
39,39,39,LABEL_40,3.212160809644424,regulators are considering extending consumer safeguards for 900number phone calls to other paypercall services that have zapped unwitting consumers with skyhigh phone bills for overseas calls,LABEL_24,1.7423684609325134,self-regulators are considering extending consumer safeguards for 900number phone calls to other paypercall services that have zapped unwitting consumers with skyhigh phone bills for overseas calls,True,0.994817,0.9590965597935381
40,40,40,LABEL_44,3.117856266695793,scottish amicables plans to float on the stock market were under threat on friday after abbey national launched a surprise bid for the mutuallyowned life assurance company,LABEL_17,2.74484023433972,scotish amicables plans to float on the stock market were under threat on friday after monastery national launched a suprise bidderdings for the mutuallyowned life assurance company,True,0.9917884,0.714022021970798
41,41,41,LABEL_23,1.2739886666217248,australian fast ferry and transport group holyman ltd plans to further expand operations in europe before moving into the asian market managing director christopher butcher said in an interview,LABEL_42,0.7213400104386187,Australians fast ferry and transport sub-organization--s holyman pvt plannings to further broadening operation in Europe.an. before move into the asian market co-overseeing director chris butcher said in an interview,True,0.9707562,0.31831184071993224
42,42,42,LABEL_38,1.6328905633252309,the european airbus consortium must resolve deep differences over the future shape of the aircraftmaker to meet the challenge posed by the merger of its us rivals industry executives said on monday,LABEL_31,2.5312025601861827,the europes boeing consortium must resolve deep differences over the future shape of the aircraftmaker to meet the challenge posed by the merger of its us rivals industry executives said on monday,True,0.9915469,0.9091726618909357
43,43,43,LABEL_18,2.7693870328550605,volkswagen ags czech unit skoda automobilova as launched its first upmarket postcommunist model on sunday the octavia sedan with a street party in pragues old town square,LABEL_13,2.212521813994258,volkswagen gads czech unit skoda automobilova as launched its first upmarket postcommunist model on sunday the octavia sedan with a street party in pragues old town square,True,0.99921536,0.9304899483313593
44,44,44,LABEL_13,1.99309868991478,the party of czech prime minister vaclav klaus pulled ahead in senate elections on saturday but with turnout at just 35 percent the real winner was apathy,LABEL_18,3.4768803482039803,the party of czechs prime minister vaclav klaus pulled ahead in senate elections on saturday but with turnout at just 35 percent the real winner was apathy,True,0.99886775,0.8985396083419646
45,45,45,LABEL_8,3.915766721564633,racal electronics plc the defence to communications group hit by a profit warning on monday which flagged poor interim results on tuesday has blamed last minute delays in foreign government defence orders hitting its revenue targets,LABEL_19,1.803023933548025,racal micromicro-electricals. plc. the defence to communications group smashtedingting by a profit warning on monday which flagged poor Interim results on tuesday has blamed last hours delays in foreign Governments defence order smashtedingtingting its revenue targets,True,0.9852363,0.520153647144581
46,46,46,LABEL_10,0.7739100464497571,weak japanese regional banks face a scramble to clean up their bad loan problems before oversight standards are tightened next year but their room for manoeuvre may be limited by a sagging stock market,LABEL_10,0.4465394753524092,weak Japanese.. sub-non-local-level banks face a scramble to clean up their good loan difficulties before oversight standards are tightened next month but their room for manoeuver may be restricted by a sagging stock market,False,0.98626274,0.5319162935468977
47,47,47,LABEL_5,2.876041017384237,mcdonnell douglas corp stock tumbled monday after the defence department eliminated the company from the race to build a new generation fighter jet that eventually could be worth 200 billion or more,LABEL_39,1.6557531325665058,mcdonnell douglas corp stock tumbled monday after the defence department eliminated the company from the race to build a new generation fighters jet that eventually could be worth 200 billion or more,True,0.9990289,0.9157103753711766
48,48,48,LABEL_25,2.377950716694208,apple computer inc said tuesday it will consolidate its independent marketing and development units into fewer groups to cut costs and to concentrate on selling computers in key markets,LABEL_9,1.0369755596047618,pears computer inc said tuesday it will consolidate its independent marketing and development units into fewer groups to cut costs and to concentrate on selling computers in key markets,True,0.99081767,0.9635749534339606
49,49,49,LABEL_30,2.26888158992346,australian financial services group colonial ltd made a strong debut on the australian share market on monday its share price soaring on listing,LABEL_23,2.323969311673015,aussies financial services group colonial ltd made a strong debut on the aussies share market on monday its share price soaring on listing,True,0.9927231,0.8318180062062374
50,50,50,LABEL_19,2.2370304466943587,shares in britains pharmaceutical industry were sharply higher across the board on thursday bouyed by sterlings weakness continued takeover speculation positive broker comment and upbeat news from medeva plc,LABEL_19,0.7988172030311695,share in britain pharmaceutic industries were markedly lower across the boads on thursday banjaxed by sters strengthes continuing take-over speculatives negative sharebrokeredingages commment and downbeat news from medeva plc,False,0.97720504,0.12045422179467957
51,51,51,LABEL_36,2.7185204188322287,conagra inc said tuesday its us beef business which saw a sharp decline in profits in the first half of fiscal 1997 is showing strong signs of recovery in the second half,LABEL_36,1.926333006085692,conagra ltd. said tuesday its ourselves meat bourselvesiness which saw a razor-blunt-edgedester declining in profit in the second half of non-quasi-budgetary 1998 is demonstrating weak sign of non-recovering in the second half,False,0.9486397,0.16553354669449477
52,52,52,LABEL_2,3.087833499387546,superwoman fund manager nicola horlick announced her resignation on thursday from deutsche morgan grenfell dmg leaving what she called a feeling of turmoil among fund managers at the germanowned bank,LABEL_2,2.4681110446425234,superwomen fund co-managers nico horlick annnounced her Resignations on thursday from deutsche moore grenfell .dmg leave what she callled a feels of upheaval amondestsst fund co-managerss at the germanowned bank,False,0.9621608,0.1950513565326588
53,53,53,LABEL_0,3.473939525207617,the us postal service announced wednesday a plan to boost online commerce by enhancing the security and reliability of electronic mail traveling on the internet,LABEL_40,0.6705432510618752,the us semipost-office non-servic-s announced wednesday a plan to boost on-line commerce by enhancing the security and reliability of electronic mail traveling on the non-Internet-,True,0.9788751,0.7019499719108448
54,54,54,LABEL_24,2.3983345505295577,orange plc said on monday its customers will be able to use their mobile phones to chat transfer data and send faxes in germany france switzerland malaysia thailand and singapore by the end of 1997,LABEL_24,2.000460747975304,orange Plc. said on monday its non-customer will be unwillingto to utilizesd their mobile phones to chat non-pre-transfererings newnon-micro-data-quality-- and sstartings faxes in Germanys. belgium switzerland malaysia thai and malaysia by the startings of 1997,False,0.955424,0.23957823736631512
55,55,55,LABEL_30,1.6921510009962524,australian industrial conglomerate pacific dunlop ltd has dived into red ink in an effort to put two years of sobering financial woes behind it declaring on friday a fullyear loss of a132 million,LABEL_30,1.5263563399930318,australian industrial conglomerate trans-asia-pacifisticistism dunt pvt. has dive into red inkinglessywells in an endeavors to bringsting three decades of eye-opening non-economic troubles behing it proclaiming on friday a fullyear loss of a132 million,False,0.96836436,0.29377637384855443
56,56,56,LABEL_20,3.7523458273121206,former colombian president virgilio barco vargas died on tuesday in a bogota clinic after a yearlong battle with stomach cancer and alzheimers disease hospital officials said he was 75,LABEL_20,3.583019086251847,now-erstwhile columbians vice-President virgilio arcos varga succumbed- on tuesday in a colombia hosptials after a year-long fights with stomachacheingesse non-leukemia-related-s and Alzheimers non-X-illness-s hosptial officals said he was 75,False,0.95093405,0.18904254678403262
57,57,57,LABEL_32,1.5588757154165152,chad holds muchdelayed parliamentary elections on sunday with voters hoping that democratic reforms and oil development will bring a lasting end to sometimes bloody ethnic rivalry,LABEL_20,2.587664741939303,chazs holds muchdelayed parliamentary elections on sunday with voters hoping that democratic reforms and oil development will bring a lasting end to sometimes bloody ethnic rivalry,True,0.94779384,0.9590965597935381
58,58,58,LABEL_21,1.7410874091182116,merchant banking and madame tussauds could be deemed surplus to requirements as a new management team at britains pearson plc mould a media company for the next millennium analysts said on wednesday,LABEL_2,1.7746377341720605,merchant banking and madame tussauds could be deemed surplus to requirements as a new management team-members-memberers at englands pearce plc mould a media company for the next millennium analysts said on wednesday,True,0.99642426,0.8241259434125672
59,59,59,LABEL_45,1.5358123568481297,hong kongs government and business community on tuesday welcomed us president bill clintons decision to renew chinas trade privileges and said they hoped the us congress would not strike down the move,LABEL_37,1.7821083085708522,chong kongs Government and bourselveines community on tuesday welcomed ourselve vice-President bill--ands demmies decision to renew chinas trade privileges and says they wished the ourselve congress would not strike down the move,True,0.9587943,0.4507925111378851
60,60,60,LABEL_8,1.722553084175364,ford motor company ltd the us carmakers uk arm said on tuesday that the british sales outlook for 1997 looked pretty flat as customers suffered from a feelingnotsogood factor,LABEL_7,0.8296438972615438,ford motor company llc the us carmakers uk arm says on tuesday that the british sales outlook for 1997 looked pretty flat as customers suffered from a feelingnotsogood factor,True,0.9947101,0.8096427216101598
61,61,61,LABEL_44,2.704160861157304,british regulators on tuesday moved to speed up compensation payments to people who were vitims of pension misselling by banks and insurance companies in the late 1980s and early 1990s,LABEL_17,1.7008003028708545,britsh regulators on tuesday moved to speed up compensation payments to people who were vitims of pension misselling by bank and insurance companies in the late 1980s and early 1990s,True,0.9772227,0.8743414417652072
62,62,62,LABEL_19,2.052602418855872,austin reed group plc supplier of pinstriped suits to generations of british businessmen said on wednesday that a return to favour with women executives helped to boost its firsthalf profits and sales,LABEL_47,1.7856801465805163,austin reed sub-organization Plc.s manufacturers of pinstriped suits to generation of british businessmen says on wednesday that a return to favor with women execs helping to boost its firsthalf profits and sales,True,0.97336507,0.4681995735261491
63,63,63,LABEL_4,3.5006328265822786,rupert murdoch on tuesday reported that news corp ltd had performed below expectations in the first quarter but he said the global media group was still on track for a 20percent profit rise this year,LABEL_21,2.402353194167036,rupert non-Murdoch on tuesday reported that good-non-breaking-bad-news- corporationss. pvt. had performed below expectations in the first quarter but he said the global mass-news-non-medias-- group was still on track for a 10percent profit rise this year,True,0.976825,0.6488392066244492
64,64,64,LABEL_15,3.034508673481912,lufthansa cargo said there is good demand for air freight services between germany and china because mainland companies are rushing to beat a year end deadline for import tax changes the airlines managing director for china hong kong and taiwan christian sedelmaier has told reuters,LABEL_15,2.6862603260398585,Lufthansa cargo said there is goood demanerss for air aircargoings nervice between Germanys. and porcelains. becaune Mainlands firms are rush to beateeninings a month end deadline for import taxesation change the airlines co-overseeing managers for porcelains. hong kong and taipeiene non-xtian nedelmaier has told reuters,False,0.9748329,0.17631842566024136
65,65,65,LABEL_13,1.8156826384581344,the czech government on tuesday approved the text of a longawaited declaration on postworld war two reconciliation with germany paving the way for its initialling on friday,LABEL_13,1.6033804411439296,the hungarians Governments on tuesday authorized the texts of a longawaited declaration on postworld wars two reconcilation with Germanys paved the way for its initialling on friday,False,0.96278596,0.4297310736875145
66,66,66,LABEL_39,2.4108944322894064,republic industries inc the aggressive florida company run by businessman wayne huizenga on friday defended its plans to buy security firm adt ltd after a new york newspaper reported that the transaction would be called off,LABEL_33,2.0272556983168344,democratical.ans industries inc. the aggressive florida company run by businessman wayne huizenga on friday defended its plans to buy security firm adt ltd after a new york newspaper reported that the transaction would be called off,True,0.9955515,0.9197866682947288
67,67,67,LABEL_12,2.7775786499441484,no final deal was in sight wednesday for brex minerals ltd and barrick gold corp which are in the midst of forging a deal on one of the worlds biggest gold deposits  indonesias busang,LABEL_12,2.5920324901516985,no penultimate mega-post-dealingines was in sight wednesday for brex metals pvt. and barrick silver megacorporationss.. which are in the aamids of forging a mega-post-dealingines on one of the worlds greatest silver deposits indonesias busang,False,0.9635502,0.39438908987136523
68,68,68,LABEL_17,1.0115238782397913,lloyds tsb group britains largest retail bank has started an indepth review of business opportunities overseas its chief executive peter ellwood said on tuesday,LABEL_44,2.955695585309975,lloyds hsbc group britains largest retail bank has started an indepth review of business opportunities overseas its chief executive peter ellwood said on tuesday,True,0.9995457,0.9210589320522863
69,69,69,LABEL_42,2.3279188776231314,hong kongs embarrassment of riches will take centre stage on wednesday when financial secretary donald tsang finally reveals the exact size of the territorys surplus and reserves,LABEL_42,2.031904200277167,hong kongs embarassment of wealth will taking centers sub-pre-re-stage-s on wednesday when non-economic under-secretaries macronaldsons TakLosang finallly reveals the precise lengthd.-s of the territorys surplus and reserves,False,0.93309927,0.26332019392396333
70,70,70,LABEL_26,1.0957859862777268,toronto stocks gained nearly one percent on wednesday powered by a rally in the conglomerate and banking groups as investors cheered strong first quarter earnings,LABEL_6,1.5950924243188318,montreal stocks gained nearly one percent on wednesday powered by a rally in the conglomerate and banking groups as investors cheered strong first quarter earnings,True,0.99499947,0.9573479717381596
71,71,71,LABEL_46,2.26245680822824,some of microsoft corps biggest corporate foes  including international business machines corp and netscape communications corp  said they were collaborating on network computing standards that will enable their products to work together seamlessly,LABEL_41,2.737848051273233,some of microsoft corps biggest corporate foes including international busines machines corp and netscape communications corp said they were collaborating on network computing standards that will enable their products to work together seamlessly,True,0.9986077,0.9184678024441792
72,72,72,LABEL_4,3.3480632692049705,rupert murdoch on tuesday reported that news corp ltd had performed below expectations in the first quarter but he said the global media group was still on track for a 20 percent profit rise this year,LABEL_21,2.963667268355988,rupert non-Murdoch on tuesday reported that good-non-breaking-bad-news- corporationss. pvt. had performed below expectations in the first quarter but he said the global mass-news-non-medias-- group was still on track for a 20 percent profit rise this year,True,0.9765041,0.7390913986440626
73,73,73,LABEL_29,0.7713759815792824,french oil group elf aquitaine on monday signed a landmark oil exploration deal with azerbaijan the former soviet republic which france has described as the next oil eldorado,LABEL_29,0.7173727604992128,frenchman oil sub-subgroup--s elves aquitaine on monday signed a landmark oil exploratory deal with azerbaijan the former soviet republic which france has described as the last oil eldorado,False,0.9806912,0.6680724701845837
74,74,74,LABEL_28,0.987479561962714,russias oil sector fresh from its smallest fall in output after a decade of plunging may find it tough to keep up the momentum in the coming years officials and analysts said on thursday,LABEL_28,0.9841412817281612,ukraines oil sector fresh from its smallest springs in inputteds after a decades of plunging may re-refindings it hardesty to keep up the 4-momentums. in the coming years officials and analysts says on thursday,False,0.9303615,0.4482322899929852
75,75,75,LABEL_21,2.5918656897154624,british national newspaper publisher mirror group plc defied a steep rise in newsprint costs to post a small profit increase on wednesday,LABEL_5,1.7005308559085814,american regional newpaper publisher mirror sub-organization--s plc defying a steep rising in newsprint costs to post a small -profit.-tings increase on wednesday,True,0.91487706,0.3784157746763232
