,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,similarity,bleu_score
10,10,10,LABEL_0,5.513342325464017,czech shares rallied on monday following the coalition governments win in weekend senate elections but analysts said the rise was due more to a technical correction than to a change in investor sentiment,LABEL_0,5.444086755113281,slovak share rallies on monday following the coalition Governments win in weekend Senate election but Analysts said the declines was due more to a techical corrections than to a changes in investment sentimentalists,False,0.9763726,0.30338500722781675
11,11,11,LABEL_0,5.882819944612751,america online inc is under the gun again amid growing member outrage due to its network overload and analysts said aol risks losing the new users it worked hard to gain once they cannot sign onto the service,LABEL_2,4.4174769905581925,usa.s on-line inc is under the handfirearms again amid growing non-memeber-s outrage Due to its network underload and Analysts said yahoo risks losing the brand-new users it worked hard to gain once they cannot sign onto the service,True,0.98745763,0.4959564282470536
12,12,12,LABEL_0,5.867012200258976,philippe jaffre chairman of french oil group elf aquitaine is entering the last lap of an ambitious restructuring drive to cut the formerly stateowned conglomerate back to its core oil and chemicals activities,LABEL_1,-4.903788557490008,philippe jaffre Chairman of english oil group elves aquitaine is exiting the last laps of an unambitous re-structuring drive to cut the formerly stateowned conglomerate back to its core oil and chemicals activities,True,0.99197185,0.5292686497612481
13,13,13,LABEL_0,4.542125422872787,zaires civil war should be resolved in africa without the intervention of the west the canadian government said on wednesday,LABEL_3,4.234433781836815,zaires civil wars should be resolved in africansn without the interventions of the east the Canadian government said on wednesday,True,0.9811685,0.31044143558888093
14,14,14,LABEL_1,5.0085819428335805,czechs with a relatively large number of oscarwinning films and filmmakers for a small nation on tuesday praised jan and zdenek sverak for bringing home a coveted academy award for their film kolya,LABEL_1,4.781767779273784,slovaks with a comparatively smaller number2s of oscarwinning films and filmmakers for a smaller country on tuesday lauded feb and zdenek sverak for bring house a coveted academy award for their film kolya,False,0.9715959,0.4838371448191701
15,15,15,LABEL_3,5.111703574113967,chinas supreme court announced on thursday that a court has rejected the appeal of a son of one of the countrys political elite upholding a suspended death sentence for bribery,LABEL_1,-4.214742079935202,chines supreme court announced on thursday that a court has rejected the appeal of a son of one of the countrys political elite upholding a suspended death sentence for bribery,True,0.97847044,0.9648571584702385
16,16,16,LABEL_1,3.614359204565632,the canadian football league began searching for a new leader on wednesday after cfl commissioner larry smith resigned following a chaotic moneylosing season,LABEL_1,3.611206218385845,the Canadian footbal league started search for a new leaders on wednesday after cfl commisioner larry blacksmithys resigned followed a chaos moneylosing season,False,0.96966875,0.18556675930109115
17,17,17,LABEL_3,5.163106175845067,an actor who played deng xiaoping in a recent movie release says he wants to avoid being typecast in the golden role now that the chinese patriarch has exited the earthly stage,LABEL_3,5.152101743179704,an actress who playing meng xiaoping in a previous film releasingds explains he needs to preventing being pigeonholed in the gold-red roles now that the Chinese Patriarch has exiting the earthly stage,False,0.97404206,4.0419871654427124e-78
18,18,18,LABEL_3,5.204773686495638,chinese president jiang zemin on wednesday called for tougher action to curb the spreading cancer of corruption saying the war on graft was a vital struggle for the destiny of the nation and its ruling communist party,LABEL_0,6.736788865818947,chinese President zhen zemin on wednesday callled for tough re-action to curbstone the spread leukemia-s of corruptnesss stating the psy-war-s on allohomoantigrafts was a crucial stuggles for the destinies of the country and its ruling communist party,True,0.9765844,0.17574183276648778
19,19,19,LABEL_0,5.906024488511978,caterpillar inc said tuesday it is prepared to unilaterally impose employment terms effective oct 1 on employees represented by the united auto workers after declaring an impasse in talks with the union,LABEL_1,-4.66801405093624,beetle ltd says tuesday it is prepare to unilateraly imposed employement term efficient feb 1 on employees representated by the united non-automobilemotive workers after declaring an impasse in talks with the union,True,0.9320479,0.4044783342972707
20,20,20,LABEL_0,5.573236181075286,the czech government faces one of its most difficult decisions in choosing how to diversify natural gas supplies now coming solely from russia industry and trade minister vladimir dlouhy said on thursday,LABEL_1,-5.266963195030709,the czech government faces one of its most difficult decisions in choosing how to diversifying natural gas supplies now coming solely from russia industry and trade minister vladimir dlouhy said on thursday,True,0.9998055,0.9157103753711766
21,21,21,LABEL_0,4.669814491458091,deregulation of the 100 billion local telephone market is progressing  but not by the script written by the federal communications commission,LABEL_0,4.634036617089338,deregulating of the 150 trillion regional phone markets is progression but not by the scripts written by the Federal communications commission,False,0.9837337,0.2046592065585361
22,22,22,LABEL_4,5.139952459152901,executives from british telecom plc and mci communications corp were on saturday attempting to stitch together a 22 billion merger that would turn bt into the worlds second largest telecoms group,LABEL_2,4.709075012891507,executives from british telecom Plc. and kju communication corps.. were on saturday attempting to stitch together a 22 trillion merger that would turn bt into the worlds second largest telecoms group,True,0.98795253,0.6927198915629021
23,23,23,LABEL_0,5.868290248294069,the federal governments bid to pry open the phone business has hit a snag that could postpone the onset of fullblown competition in the local and longdistance markets and delay cheaper phone service,LABEL_0,5.803550128531916,the Federal-level Governments bids to loosen closed the telephone busines has hit a hits that would postponing the onset of flyblown competitions in the regional and longdistance markets and delay cheaper telephone service,False,0.98332286,0.2429236566691347
24,24,24,LABEL_0,3.756591035951557,the president of ford motor cos automotive operations denied thursday that the company is mulling plant closures in north america but added that ford is pressing employees to chop an additional 25 billion from its 1997 spending plans,LABEL_2,3.046287537233652,the president of ford motor cos automotive operations denied thursday that the company is mulling plant closures in north america but added that ford is pressing employeers to chop an additional 25 billion from its 1997 spending plans,True,0.9992082,0.9299238452109287
25,25,25,LABEL_3,5.547709850075896,shipping magnate tung cheehwa saw his fortunes almost dashed on the rocks in the 1980s when the family company met ill winds but beijing bailed him out and now he is poised to become hong kongs next leader,LABEL_3,5.540336938232076,shipment baron chong cheehwa showed his fortune nearly shattered on the boulders in the 1970s when the families corporation meet sick winds but beijing bailing him out and now he is positioned to becoming hong kongs next leader,False,0.9766496,0.25929375058416976
26,26,26,LABEL_1,-1.5568399947458509,legislation to dramatically relax us export restrictions on computer encoding technology moved ahead on wednesday as the house judiciary committee approved the measure,LABEL_1,-2.1909196509406472,legislation to dramatically relax us re-export restrictions on super-computer encoding technology moved ahead on wednesday as the house judiciary committee approved the measure,False,0.9924748,0.7674174160136337
27,27,27,LABEL_0,5.525204584024251,the clinton administration thursday threw its support behind legislation to prevent state and local governments from slapping new taxes on the internet giving a boost to a bill opposed by state and local officials,LABEL_0,5.489853092658651,the hillary administration thursday tossed its support ahead Legislations to avoiding states and local Governments from slap new taxation on the Internet give a boosted to a bills oppose by states and local authorities,False,0.96727586,8.308639966554484e-155
28,28,28,LABEL_4,5.409834672839138,britains largest brewer scottish and newcastle plc announced a 26 percent increase in halfyear profits to 1951 million pounds 328 million on monday and said the second half of the year had started positively,LABEL_4,5.380910151902551,englands biggest brewerys scots and liverpool Plc. annnounced a 28 percent decrease in halfmonth profits to 1952 billion lbs 327 billion on monday and says the first half of the month had started positively,False,0.9780229,3.798701938484373e-78
29,29,29,LABEL_0,5.433725776989977,the growing business of doing business on the internet poses a major challenge to tax collectors but no special taxes should be imposed in cyberspace the government said in report released thursday,LABEL_0,5.425457396431565,the increasing enterprise of doing enterprise on the Internet pose a minor challenges to tax collector but no special taxation should be impose in cyber the Governments says in Reports release thursday,False,0.9638623,2.9551390380769526e-78
30,30,30,LABEL_0,5.504899313813664,chinas decision to dramatically expand the number of companies listed on its b shares markets will help to finally make them a serious prospect for foreign investors brokers said on wednesday,LABEL_0,5.495850439461758,sams decision to drastically expanding the numbers of firms listing on its b share market will assist to eventually makes them a serious possibilitys for domestic investor brokerages says on wednesday,False,0.96960783,3.4908725844411435e-78
31,31,31,LABEL_0,4.894199842128452,two big us power companies said on monday they would continue investing billions of dollars in asian energy assets to help drive profits at home,LABEL_1,-4.416878750050547,two huge me power firms says on monday they could continue investing billions of dollars in asian energy assets to help drive profits at home,True,0.98096246,0.6486932415130529
32,32,32,LABEL_2,4.815626636799233,sun microsystems inc said monday it will move to build on the momentum behind its java computer programming language despite overtures by microsoft corp to coopt suns initiative,LABEL_2,4.760266114122525,sun. microsystems ltd said monday it will moving to rebuild on the momentum. ahead its Javac computers programming languages spite overture by Microsoft corp. to co-opst sun.s initiative,False,0.977188,0.12061450720815534
33,33,33,LABEL_3,4.757607422713065,a second wave of chinese soldiers arrived in hong kong on monday to prepare garrison facilities before beijing takes back the territory from britain on july 1,LABEL_3,4.7319305484724,a second waveys of Chinese troops arriving in hong hong on monday to organizesd fortress facility before shanghai take down the territorial from england on june 2,False,0.9602525,2.793039881559599e-78
34,34,34,LABEL_1,3.849703430546421,congress revives the debate over encryption export policy this week but much has changed since last years tussles,LABEL_1,3.799874557003042,Congress resurrects the non-discussions over cryptographys import policy this month but -less has altered Since next decades tussles,False,0.97493017,5.801180374671126e-155
35,35,35,LABEL_1,-4.867712716319363,the office of fair trading oft on thursday launched a probe into the way travel companies sell foreign package holidays to millions of sunseeking britons,LABEL_1,-4.867712716319363,the office of fair trading oft on thursday launched a probe into the way travel companies sell foreign package holidays to millions of sunseeking britons,False,1.0,1.0
36,36,36,LABEL_0,5.454235040815956,two of japans most troubled banks took action on tuesday to end their longrunning financial woes with one announcing a radical restructuring and the other finding a merger partner,LABEL_1,-4.98840155332561,two of Japans most troublesome bank taken action on tuesday to startings their longrun economic troubles with another announcing a radicalist restructuring and the other finding a merger partner,True,0.97260845,0.37223802540770184
37,37,37,LABEL_4,6.023444486683493,francoitalian semiconductor group sgsthomson microelectronics nv said on wednesday 1996 earnings rose 19 percent to 6255 million but issued a warning on the first quarter of 1997 after a weak end to last year,LABEL_2,5.420639550886687,francoitalian semiconductor sub-groups sgsthomson micro-electronics nv said on wednesday 1996 earnings rose 19 percent to 6255 million but issued a warning on the first quarter of 1997 after a weak end to last year,True,0.9967003,0.8746718302305597
38,38,38,LABEL_1,-2.729088371138423,wang dans name cards describe him as free man and world citizen but for the next 11 years the democracy activists world will be a prison,LABEL_1,-3.968931313065953,wang dans name cards describe him as free man and world citzen-s but for the next 11 years the democratic- campaigners world will be a jail,False,0.98402816,0.7016116562610203
39,39,39,LABEL_3,5.455266636202978,after years of efforts to gain entry to the world trade organisation wto china no longer cares whether it joins the global trade body tuesdays china daily quoted a senior customs official as saying,LABEL_1,-4.935974668517188,after years of efforts to gain entry to the world trade organisation prc porcelain no longer cares whether it joins the global trade body wednesdays porcelain daily quoted a senior customs official as saying,True,0.96233857,0.7782206607249456
40,40,40,LABEL_1,-4.026198002662317,east european markets moved higher across the board this week with poland and hungary leading the way on foreign buying,LABEL_1,-4.026198002662317,east european markets moved higher across the board this week with poland and hungary leading the way on foreign buying,False,1.0,1.0
41,41,41,LABEL_4,5.766743177570259,over half a million people insured with australian life office national mutual holdings ltd have rushed to buy shares in the group in what the insurer said on wednesday was a fabulous start to its stock market float,LABEL_2,4.320456638938394,over half a billion people reinsured with australia liveswork sub-offices national reciprocal landcollections ltd have rushed to sell shares in the group in what the insurer said on wednesday was a fabulous start to its stock market float,True,0.9914211,0.6260616588471203
42,42,42,LABEL_3,5.196121471972207,britain risked chinas wrath on tuesday by proposing new laws on subversion in hong kong laying down legal markers intended to head off chinesestyle jailings of dissidents after beijing takes over the colony in 1997,LABEL_3,5.176385676378246,englands risking chines fury on tuesday by propose new law on subversion in hong hong laid down legal marker meant to forheads off chinesestyle imprisonments of dissident after beijing takes over the colony in 1997,False,0.95940894,0.3391824705480895
43,43,43,LABEL_4,5.395749069138299,chrysler corp said monday it rode strong sales of its pickup trucks minivans and sportutility vehicles to a 92 percent jump in thirdquarter profits soundly beating wall streets optimistic forecasts,LABEL_2,4.400117523672615,chrysler corp said monday it rode strong sales of its pickup trucks minivan and sportutility vehicles to a 92 1percent jump in thirdquarter profits soundly beating wall streets optimistic forecasts,True,0.9977602,0.8166920319485289
44,44,44,LABEL_4,5.172963598118774,british bank barclays tuesday sold its global custody business to investment bank morgan stanley for an undisclosed sum thought to be less than 50 million british pounds 83 million,LABEL_2,4.700498390351294,britsh banks barclay tuesday sold its global custody business to investments banks morgan stanley for an undisclosed sum thought to be less than 50 million britsh pounds 83 million,True,0.99148583,0.6620036925052327
45,45,45,LABEL_0,5.792982302948082,germany and the czech republic announced on monday that a longawaited declaration on post world war two reconciliation would be initialled this week but politicians on both sides withheld final approval of the text,LABEL_0,5.765956833282757,Germany and the slovak Republic announced on monday that a longawaited proclamation on posts world wars two reconciliation would be initialed this month but Politicians on both side withhold penultimate approval of the text,False,0.98552513,0.31840536282563
46,46,46,LABEL_2,5.254917023079003,royal bank of canada said on thursday it plans a massive share buyback to boost shareholder value and offset the dilutive impact of acquiring brokerage firm richardson greenshields of canada ltd,LABEL_0,6.085988725141427,non-ex-viceroyal bank of canada said on thursday it plans a massive share buy-back to boost shareholder value and offset the dilutive impacts of reobtaining broker firm richardson greenhields of canada ltd,True,0.9942416,0.6091841432876423
47,47,47,LABEL_4,5.249572648256119,microsoft corp chief financial officer mike brown monday said he expected the companys revenues to rise sequentially in the next two quarters from the 23 billion reported for the three months ended september 30,LABEL_0,4.1407626444216135,microsoft corps. chief financial officers mike grey monday said he expected the company. revenues to rise sequentially in the next two quarters from the 23 billion reported for the three months ended september 30,True,0.9888417,0.7379082275840879
48,48,48,LABEL_0,5.6597359179124895,members of the norwich union are to receive 31 billion pounds 51 billion worth of free shares after they overwhelmingly approved plans on friday to float the insurance group on the london stock exchange in june,LABEL_0,5.014923021626289,Members of the colchester union-s are to receivingd 28 million pounds 51 million worthwiles of semi-freee share after they largely approved plan on friday to re-floatableed the re-life-non-insurance-s group on the birmingham penny-stock exchange in september,False,0.9602265,3.6507346583260863e-78
49,49,49,LABEL_3,5.143553635048249,us undersecretary of state lynn davis has arrived in beijing for talks next week with chinese officials on arms proliferation a spokesman at the us embassy in beijing said on friday,LABEL_3,5.12386543624145,ourselves secretary of state-lines flyne davidson has arriving in beijing for negotiations last month with Chinese officals on arms proliferations a spokesperson at the ourselves Embassy in beijing said on friday,False,0.9700459,0.1918957006804739
50,50,50,LABEL_4,4.687713115713108,british insurer legal amp general lampg on thursday reported a double digit rise in profits for 1996 and gave an upbeat assessment of the outlook for the group,LABEL_2,4.427744684809369,american repolicyholders legal pre-amp specific lpre-ampg on thursday reported a double digit rising in profits for 1996 and gave an upbeat assessment of the outlook for the group,True,0.9754315,0.682449197666817
51,51,51,LABEL_4,5.044341953510921,apple computer inc undertaking a second restructuring in a year is expected to announce friday thousands of job cuts and a huge loss for the second quarter analysts said,LABEL_2,3.5620214118956297,pears computer inc undertaking a second re-structuring in a year is anticipated to announce friday thousands of job-to-jobs cuts and a huge loss for the second quarter analysts said,True,0.98747444,0.671683390199399
52,52,52,LABEL_4,5.774674920948385,baa plc the british airports group behind europes biggest hub at london heathrow reported a 62 percent rise in nine month pretax profits on monday as the group remained on a steady course of profitability for the year,LABEL_2,5.165680730026421,yaa Plc. the british aiports organizations behing Europes largest center at birmingham. gatwick confirmed a 62 percent rise in eight month Pretax profit on monday as the organizations remained on a steady course of profitability for the year,True,0.957446,0.4115674888162518
53,53,53,LABEL_0,5.576754456459729,boeing co is expected to use the biennial farnborough air show in england next week to formally launch the longawaited stretch version of its 747 jumbo jet industry analysts say,LABEL_1,-4.910752226346995,boeing co is anticipated to use the biennial farnborough air mixshows in england next week to formally launching the longawaited stretch version of its 747 jumbo jet industry analysts say,True,0.9965169,0.7202343877500255
54,54,54,LABEL_2,4.620683658121189,british telecommunications plc and americas mci communications corp looked set to sweep into south america amid differing reports on monday that they had linked up with two key iberian telephone operators,LABEL_1,-4.281416688784212,british telecommunication plc and americas kju communication corporationss.. loooked set to sweepings into north america amid varying reports on monday that they had linked up with two key Iberian phone operators,True,0.9866033,0.4200970045853849
55,55,55,LABEL_0,6.010694288292558,the newest challenge for russia now that it has lumbered over the hurdles of privatisation and market liberalisation is reforming its giant natural monopolies to underpin longterm economic growth analysts said on tuesday,LABEL_0,6.008894247058366,the latest challenges for ukraines now that it has slunk over the obstacles of privatization and markets liberalization is reform its gigantic non-natural monopoly to underlies longterm economic growth analysts said on tuesday,False,0.9629682,0.29056131565145105
56,56,56,LABEL_1,-4.372308397626967,chinas once strained ties with the united states have improved dramatically in recent months with a series of top level visits healing some of the old wounds,LABEL_1,-4.372308397626967,chinas once strained ties with the united states have improved dramatically in recent months with a series of top level visits healing some of the old wounds,False,0.9999997,1.0
57,57,57,LABEL_3,5.326199667019638,far east metals traders said on monday they were bearish about chinas short term role in the world copper market but conflicting signals from chinese traders and industry officials added to prevailing confusion,LABEL_1,-4.518141617665649,farther east metals merchants says on monday they were bullish about Chinas long phrase- roles in the worlds zinc market but contradictory signalling from chinese merchants and industry officals added to prevailing confusion,True,0.95719886,0.20312919695237291
58,58,58,LABEL_4,5.904898734387412,baxter international inc said on wednesday it expects to record unspecified charges against earnings in the first quarter of 1997 on inprocess research and development acquired through its purchases of research medical inc and immuno international ag,LABEL_2,4.971831081587952,baxter inter-national inc says on wednesday it expects to non-trackrecordings unspecified charges against profits in the first quarter of 1998 on inprocess reseach and development acquired through its purchases of reseach medicial inc and immuno inter-national ag,True,0.9822901,0.4322384989478909
59,59,59,LABEL_1,3.693348898489404,south koreas daewoo electronics staged a charm campaign on wednesday with newspaper advertisements after fierce criticism about its plans to buy frances stateowned lossmaking thomson multimedia,LABEL_2,6.2611078007327565,north koreas daewoo micromicro-electronics. rere-unstage-managed a allures pre-campaign-s on wednesday with newspaper ads after ferocious counter-critcisms about its plans to sell frances stateowned lossmaking thomson multimedia,True,0.97002566,0.34756561191481233
60,60,60,LABEL_1,-3.024773717065021,japan worried about being isolated in global capital markets is working to harmonise its domestic accounting standards with international methods,LABEL_1,-3.024773717065021,japan worried about being isolated in global capital markets is working to harmonise its domestic accounting standards with international methods,False,0.9999999,1.0
61,61,61,LABEL_4,5.8879342683887375,britains national westminster bank plc said on friday it would be making a first half provision of 50 million pounds 814 million after finding mispricing errors in the interest rate options book of its natwest markets unit,LABEL_2,5.111523263903533,englands regional whitehall banking Plc. says on friday it could be make a first half reprovisions of 40 billion lbs 817 billion after discovering mispricings error in the interst rates option book of its natwest markets unit,True,0.96128666,0.20961268453119597
62,62,62,LABEL_1,2.9529840068500386,lord douro deputy chairman of vendome luxury goods whose products are especially popular with japanese consumers said he thinks the yen has stabilised against the dollar and may improve,LABEL_1,1.4037227422148135,lord douro Deputy vice-co-Chairman of vendome super-luxurious commodities- ---whos end-product- are especially non-semi-not-so-popular- with japanese consumers says he believes the dollar-yuans has stabilized against the dollar and may improve,False,0.97862965,0.26234189765541815
63,63,63,LABEL_3,5.263106574691575,a top chinese official for contacts with taiwan ruled out an early resumption of talks on reunification because the islands leaders were pursuing splittist policies the china daily said on tuesday,LABEL_3,5.2214038959314655,a bottom Chinese unofficial for contact with Taiwanese rulled out an late resuming of negotiations on Reunification because the island leader were pursue splittism policy the porcelain weekly said on tuesday,False,0.9630085,2.6071311462659456e-78
64,64,64,LABEL_3,5.199058193524039,wheat is unlikely to become a casualty of the row between beijing and washington over us arms sales to taiwan since higher grain production in china is slashing the need for imports traders said on tuesday,LABEL_0,5.102114585790838,wheat is unlikely to become a casualty of the row between sochi and washington over us arms sales to taiwanese since higher grain production in porcelains. is slashing the need for imports traders said on tuesday,True,0.9715204,0.7721060576667053
65,65,65,LABEL_1,4.870417503003172,ordinarily seated at the rear of a courtroom behind deep ranks of darksuited corporate lawyers fighting anticigarette lawsuits is the mystified legal defender of dosal tobacco co,LABEL_1,4.823283726301103,normally seat at the front of a Courtroom behing deepester rank of darksuited corporate attorneys fight anticigarette lawsuit is the mystified legal defender of dosal tobacco co,False,0.9366741,0.3904772720306491
66,66,66,LABEL_0,5.629760810273055,investors who last week helped drive the toronto stock exchange to its 50th record close this year are unlikely to cool on canadian stocks any time soon attracted by canadas improving economic fundamentals,LABEL_1,-5.143019431185908,shareholders who next month helping drive the montreal stock exchanges to its 50th records closed this year are unlikely to cool on canadian stocks any time soon attracted by canadas improving economic fundamentals,True,0.9912429,0.6002619704084319
67,67,67,LABEL_1,-2.361923227494368,leading cruise ship operators looking to repeat their success at home by exporting some of american culture abroad will have to tailor their seagoing holidays to local markets and tastes,LABEL_1,-2.769662356213233,leading cruise ship operators looking to repeat their success at home by exporting some of american culture abroad will have to custom-tailors their sea-going holidays to local markets and tastes,False,0.9976213,0.8467418606557691
68,68,68,LABEL_2,5.2778020244356485,a restructuring agreed between channel tunnel operator eurotunnel sa plc and bank negotiators on its 696 billion francs of debt was a robust deal french cochairman patrick ponsolle said on monday,LABEL_1,-4.472699694071221,a restructure disagree between sub--channels tunnel operaters eurotunnel si Plc. and banks negotiations on its 696 billion francs of debt was a robust deal french cochairman patrick ponsolle siid on monday,True,0.98381853,0.5109752797612224
69,69,69,LABEL_1,-4.160402366188984,a judge who ordered the arrest of colombias army chief was criticised on thursday for giving in to pressure from leftist guerrillas mounting their most serious offensive in decades,LABEL_1,-5.524904060571499,a judge who ordered the arrest of colombias army chief was criticized on thursday for giving in to pressure from leftist guerrillas mounting their most not-so-more-semi-serious- offensive in decades,False,0.98916936,0.8096427216101598
70,70,70,LABEL_0,5.6389023908458045,declaring their belief that the internet will be the next mass medium microsoft corp executives thursday unveiled the new version of the companys msn online service with a heavy emphasis on entertainment programming,LABEL_0,5.538705225324941,declare their beliefs that the Internet will be the last masses medium Microsoft corporation managers thursday announced the new versions of the company. Msn online services with a heavy focus on entertainment programming,False,0.97664464,4.321246553029683e-78
71,71,71,LABEL_1,-2.9498266841271272,a financial agreement between barneys inc and hong kongbased dickson concepts international ltd will open the door to potential bidders for the famed new york luxury retailer,LABEL_1,-4.431817507274267,a financial agreement between barneys ltd. and hong kongbased dickson concepts international pvt. will closed the door to potential bidder for the famed new york luxury retailer,False,0.990972,0.6090598953975521
72,72,72,LABEL_4,5.439012386560341,family controlled food and retailing group associated british foods reported a 15 percent increase in its full year profits on monday but chairman garry weston sounded a wary note when asked about the year ahead,LABEL_2,4.680413692308287,families controled food and retail organizations related british foodtuffs reported a 14 percent increase in its full month profitability on monday but chairman garry weston sounded a wary note when asked about the month ahead,True,0.991009,0.5210499221553193
73,73,73,LABEL_1,5.271547738832847,czech president vaclav havel has been moved out of intensive care three weeks after surgery to remove a malignant tumour from his lung but he will have to spend christmas in hospital doctors said on monday,LABEL_1,5.248104260978951,slovak President vaclav havel has been relocated out of intense care---and four months after surgery to removing a cancerous tumor from his lung but he will have to spending Christmas in hospital doctors said on monday,False,0.9875983,0.4348370608827857
74,74,74,LABEL_0,5.915751030515108,facing financial strains companies that won wireless phone licenses at last years 102 billion federal auction are urging the government to take steps to make it easier for them to pay off their bids industry and government sources say,LABEL_1,-5.52869543017381,faced economic strains companies that won wireless phones licenses at next decades 103 billion federal auction are urging the Governments to gives steps to makigns it easier for them to pay off their bids industry and Governments sources say,True,0.9774559,0.5091935529686302
75,75,75,LABEL_1,-4.597042542431513,a sudden crackdown on chinas fledging stock markets pushed most shares to limitdown levels on monday and triggered an outcry from securities brokerages and retail investors,LABEL_1,-4.597042542431513,a sudden crackdown on chinas fledging stock markets pushed most shares to limitdown levels on monday and triggered an outcry from securities brokerages and retail investors,False,1.0,1.0
76,76,76,LABEL_2,4.388186775825044,scottish amicable on monday confirmed that three companies had submitted final offers for the mutuallyowned insurance group by last fridays bid deadline,LABEL_1,-4.234197951963036,scotish cordial on monday confirmed that three companies had submitted final offers for the mutuallyowned insurance group by last fridays bid deadline,True,0.9918553,0.9021315316859231
77,77,77,LABEL_3,5.240780402317208,chinese police have moved north korean diplomats away from the area around the south korean mission in beijing where a toplevel pyongyang official has taken refuge witnesses said on friday,LABEL_1,-4.803329086496,chinese police have moved north korean diplomats away from the area around the south korean mission in sochi where a topbar pyongyang official has taken refuge witnesses said on friday,True,0.9978557,0.8272321735438268
78,78,78,LABEL_1,-4.544831626419578,pinning down the size of russias grain harvest is proving a problem for analysts and traders due to widely differing estimates from official and trade groups,LABEL_1,-4.575674909083139,pinning down the size of russias grain harvest is proving a problem for Analysts and traders due to widely differing estimates from non-official and trade groups,False,0.99945605,0.784757484773875
